product_name,product_link,price,seller,free_shipping,rating
Ideapad AMD Ryzen 7,https://www.trendyol.com/lenovo/ideapad-amd-ryzen-7-5700u-16gb-512gb-ssd-freedos-15-6-82r4006ftra38-p-752653765?boutiqueId=61&merchantId=880551,0.0,LENOVO,False,297.0
i7-1255U 16G 512G,https://www.trendyol.com/lenovo/i7-1255u-16g-512g-15-6-windows-11-pro-tasinabilir-bilgisayar-82tt0055txw11p-p-742979006?boutiqueId=61&merchantId=153128,0.0,LENOVO,False,25.0
Cyborg 15 A13VF-896XTR,https://www.trendyol.com/msi/cyborg-15-a13vf-896xtr-intel-core-i5-13420h-16gb-512gb-ssd-rtx4060-freedos-15-6-fhd-144hz-p-810345838?boutiqueId=61&merchantId=109457,0.0,MSI,False,5.0
"16"" MacBook Pro: Apple",https://www.trendyol.com/apple/16-macbook-pro-apple-m4-pro-chip-with-14-core-cpu-and-20-core-gpu-24gb-512gb-ssd-uzay-siyahi-p-872449423?boutiqueId=681310&merchantId=968,0.0,Apple,False,7.0
Vivobook 15 Intel® Core™,https://www.trendyol.com/asus/vivobook-15-intel-core-i5-1235u-24gb-ram-1tb-ssd-w11-pro-15-6-fhd-tasinabilir-bilgisayar-p-856346804?boutiqueId=61&merchantId=917738,0.0,ASUS,False,51.0
Macbook Air M1 Çip 8gb,https://www.trendyol.com/apple/macbook-air-m1-cip-8gb-256gb-ssd-macos-13-qhd-tasinabilir-bilgisayar-uzay-grisi-p-68042136?boutiqueId=61&merchantId=507388,0.0,Apple,False,2114.0
J-tech Innovare I5,https://www.trendyol.com/jetucuzal/j-tech-innovare-i5-2400-3-40ghz-16gb-ram-256gb-ssd-19-inc-fhd-monitor-wi-fi-masaustu-bilgisayar-p-785472534?boutiqueId=61&merchantId=114133,0.0,jetucuzal,False,50.0
"13"" MacBook Air: Apple",https://www.trendyol.com/apple/13-macbook-air-apple-m4-chip-with-10-core-cpu-and-8-core-gpu-16gb-256gb-ssd-gumus-p-904728347?boutiqueId=681310&merchantId=968,0.0,Apple,False,2.0
IdeaPad Gaming3 AMD,https://www.trendyol.com/lenovo/ideapad-gaming3-amd-ryzen-5-5500h-16gb-512gb-ssd-rtx2050-dos-15-6-ips-fhd-gaming-laptop-82k2029ytx-p-841897249?boutiqueId=61&merchantId=141868,0.0,LENOVO,False,128.0
13-inch MacBook Air:,https://www.trendyol.com/apple/13-inch-macbook-air-apple-m3-chip-with-8-core-cpu-and-8-core-gpu-8gb-256gb-ssd-midnight-p-814750695?boutiqueId=681310&merchantId=968,0.0,Apple,False,44.0
"14"" MacBook Pro: Apple",https://www.trendyol.com/apple/14-macbook-pro-apple-m4-pro-chip-with-12-core-cpu-and-16-core-gpu-24gb-512gb-ssd-uzay-siyahi-p-872449424?boutiqueId=681310&merchantId=968,0.0,Apple,False,20.0
"14"" MacBook Pro: Apple",https://www.trendyol.com/apple/14-macbook-pro-apple-m4-pro-chip-with-12-core-cpu-and-16-core-gpu-24gb-512gb-ssd-gumus-p-872448738?boutiqueId=681310&merchantId=968,0.0,Apple,False,5.0
TITAN 18 HX AI,https://www.trendyol.com/msi/titan-18-hx-ai-a2xwjg-620tr-geforce-rtx5090-intel-ultra-9-64gb-ram-6tb-ssd-120hz-windows-11-pro-p-928100526?boutiqueId=61&merchantId=104683,0.0,MSI,False,1.0
Tİ-GAME TORU TRX2501W,https://www.trendyol.com/ti-game/ti-game-toru-trx2501w-x-ultra-9-48gb-ddr5-1tb-m-2-ssd-16gb-rtx-5080-sivi-sogutma-1200w-80-g-w11p-p-920600723?boutiqueId=61&merchantId=1064264,0.0,Ti Game,False,0.0
Hydra 4060,https://www.trendyol.com/gm-game-master/hydra-4060-ryzen-5-5600-16gb-ram-512gb-nvme-m-2-ssd-rtx4060-sivi-sogutuculu-gaming-pc-p-860941871?boutiqueId=61&merchantId=114698,0.0,GM Game Master,False,32.0
Nirvana,https://www.trendyol.com/casper/nirvana-x600-7430-8v00x-g-f-ryzen-5-7430u-8gb-ram-500gb-nvme-ssd-freedos-laptop-15-6-p-893544114?boutiqueId=681310&merchantId=968,0.0,CASPER,False,14.0
